,activity,location,npoints,start_time,end_time,start_lat,start_lon,length,mean_snow_depth_m,mean_ice_thickness_m,mean_pond_depth_m
74,20200430_PS122-3_38-81,ridgeD,95,2020-04-30 14:30:50,2020-04-30 14:36:34,83.9251767,17.4808966,122.12756241690444,0.37794000000000005,2.721674035087719,0.0
75,20200430_PS122-3_38-82,special,122,2020-04-30 14:51:56,2020-04-30 14:59:31,83.925935,17.5218866,171.4270217317696,0.2942371311475409,2.510175046838407,0.0
76,20200507_PS122-3_39-131,Nloop,899,2020-05-07 11:34:55,2020-05-07 12:27:16,83.9293633,16.6872933,1305.5044132393275,0.31056272525027806,2.9034845018274282,0.0
77,20200507_PS122-3_39-132,Sloop,587,2020-05-07 08:23:20,2020-05-07 08:58:48,83.9416266,16.923885,852.2851684126819,0.32625080068143103,2.071420506205889,0.0
78,20200507_PS122-3_39-133,ridgeD,96,2020-05-07 12:37:20,2020-05-07 12:42:47,83.9297833,16.601775,123.25404434089324,0.3716045833333334,2.650808611111111,0.0
79,20200617_PS122-4_44-266,special,1184,2020-06-17 08:34:01,2020-06-17 13:32:33,82.16037,8.48379,3165.3022516466744,0.2186878716216216,3.006578416988417,0.0
80,20200617_PS122-4_44-266,transect,1184,2020-06-17 08:34:01,2020-06-17 13:32:33,82.16037,8.48379,3165.3022516466744,0.2186878716216216,3.0076870559845554,0.0
81,20200627_PS122-4_44-267,transect,284,2020-06-27 11:22:46,2020-06-27 12:38:21,81.95278,9.89478,1347.5435789209075,0.08457225352112674,2.444224683098591,0.01327982394366197
82,20200628_PS122-4_44-268,transect,379,2020-06-28 11:26:33,2020-06-28 12:04:53,81.87953,9.49036,1072.8261606380718,0.10769343007915567,3.2470421145872588,0.0
83,20200628_PS122-4_44-269,ridge,189,2020-06-28 12:09:50,2020-06-28 13:05:43,81.88051,9.46934,359.2499262386173,0.2767213756613756,4.1873294542026755,0.0
84,20200628_PS122-4_44-269,ridgeA1,47,2020-06-28 12:09:50,2020-06-28 12:15:23,81.88051,9.46934,47.603553422045024,0.22966723404255318,4.209639993953589,0.0
85,20200628_PS122-4_44-269,ridgeA3,50,2020-06-28 13:03:25,2020-06-28 13:05:43,81.87446,9.4499,102.45163407367733,0.2255752,3.9375455267563457,0.0
86,20200629_PS122-4_45-198,transect,779,2020-06-29 11:28:37,2020-06-29 13:25:30,81.82613,9.15332,3248.4486594750138,0.08414870346598201,2.27961071520264,0.012974929396662387
87,20200630_PS122-4_45-199,albedoLD,87,2020-06-30 14:26:18,2020-06-30 14:33:46,81.78742,8.9029,199.82044156107284,0.06952965517241379,2.0341644334975366,0.04756666666666666
